x	y
786.74472	294.85402
761.79349	301.01377
796.6318	303.11316
775.90152	305.69163
786.26036	309.23698
794.00426	270.51691
800.52517	276.18609
807.25488	304.89208
798.66797	292.19747
799.40211	304.84021
813.90162	282.71268
856.62708	293.6383
839.45857	295.49372
874.1692	291.48486
862.73244	297.297
869.51893	306.61752
895.10142	300.46847
907.7502	297.08548
898.32583	336.26421
914.29657	332.24251
933.39639	296.57271
975.69611	321.54463
965.01706	312.69591
981.18445	336.32757
1012.1562	339.79875
1013.7565	338.98096
1005.7295	316.32221
1017.7138	320.77898
1021.2603	335.27275
1024.2904	335.50887
1072.0239	338.06534
1060.5049	335.26445
1090.2966	322.64208
1107.0275	365.42171
1116.1245	369.07289
1098.5522	331.33439
1145.7599	350.34424
1148.2471	359.65397
1191.7638	370.01935
1174.3783	352.21356
1186.6094	369.28037
1205.73	351.39718
478.44752	138.82668
504.41236	110.23073
463.91716	136.70861
479.58324	121.38962
468.16424	132.06722
465.77858	112.0189
443.38049	150.31499
409.70633	145.95931
411.04531	133.79551
415.16893	164.64276
407.01045	158.0663
402.1159	180.14273
376.8807	168.4384
385.97722	183.62057
355.53239	190.89375
364.79866	179.95209
354.62764	190.97997
329.97168	221.41105
339.43982	197.13884
354.84739	196.79338
332.4037	226.47558
312.68459	222.03615
292.41904	206.72056
277.28534	215.73863
262.85688	226.74748
278.09565	224.65162
287.96548	241.40535
274.2879	246.01411
270.27695	271.64189
271.76307	251.01114
242.46889	255.59083
217.66425	256.76744
237.96204	240.95399
244.45223	245.09733
220.52881	245.72751
229.73789	242.7492
207.56744	248.44427
212.44512	250.06971
207.3305	255.52297
196.02757	272.99612
169.74961	279.87024
149.88355	262.39986
158.9231	257.81896
152.87622	286.18117
123.53784	281.83493
117.43987	278.74507
145.52071	281.85146
106.57693	280.72986
132.83604	280.59575
140.76331	272.64365
119.88752	278.46898
-20.201661	272.60393
-13.435073	226.5178
-38.219347	244.6175
-3.4423292	256.44618
-9.7854598	255.11933
7.2651187	267.47688
26.65894	263.45977
31.266153	255.81686
15.978558	282.7495
44.851618	267.80605
39.446485	293.0004
49.347578	268.39523
53.22009	279.0506
100.16729	278.29422
52.677621	56.958847
54.940145	43.582074
58.20964	39.344065
47.219869	45.142616
46.583029	59.71168
45.537946	67.470869
63.399126	94.316611
101.19852	114.16074
96.341687	117.88524
124.86069	117.77131
122.08647	138.34367
133.99335	137.73225
122.32268	148.69627
137.84867	182.96844
147.52713	164.83035
148.30496	200.10548
